arm,relation,n,gold_at_4_num,gold_at_4_rate,gold_at_1_rate,mIoP,mIoU,mean_span_width
A,n/a,2685,1424,0.5303538175046555,0.3039106145251397,0.297819714053369,0.1608658073672957,4.287401261080075
F,AFTER,704,334,0.4744318181818182,0.21875,0.23635772113603684,0.1497239112722106,4.269153661931818
F,BEFORE,37,18,0.4864864864864865,0.24324324324324326,0.22957038411394612,0.1435756519637042,4.261516216216217
F,CAUSE,1172,626,0.5341296928327645,0.3199658703071672,0.30598125080607047,0.16247175494404265,4.303846208191127
F,DURING,380,218,0.5736842105263158,0.3736842105263158,0.3381245295943835,0.1684288869362533,4.290849505263158
F,MANNER,392,229,0.5841836734693877,0.3596938775510204,0.3464370456250081,0.17088502051235802,4.284958071428572
G,AFTER,704,289,0.41051136363636365,0.21875,0.22944841741647845,0.1449679422764252,4.273996755681818
G,BEFORE,37,15,0.40540540540540543,0.21621621621621623,0.2118658386594007,0.13939194791535825,4.176865756756757
G,CAUSE,1172,594,0.5068259385665529,0.3165529010238908,0.3172855757295811,0.1712518773598607,4.298312148464164
G,DURING,380,204,0.5368421052631579,0.35526315789473684,0.35474439167974897,0.17516180620415825,4.260195689473684
G,MANNER,392,214,0.5459183673469388,0.3622448979591837,0.3458574094107758,0.17063771670815647,4.286317255102041
