arm,traversal_active,n,gold_at_4_num,gold_at_4_rate,gold_at_1_rate,mIoP,mIoU,mean_span_width
A,False,2685,1424,0.5303538175046555,0.3039106145251397,0.297819714053369,0.1608658073672957,4.287401261080075
F,False,2685,1425,0.5307262569832403,0.3057728119180633,0.2971287184236758,0.16094031081166923,4.289569612662943
G,False,352,206,0.5852272727272727,0.3068181818181818,0.32109457330590696,0.16423595187212203,4.27417115625
G,True,2333,1110,0.4757822546078011,0.30090012858979853,0.29943553372066745,0.16440743675500163,4.2844672378911275
