arm,parser_status,n,gold_at_4_num,gold_at_4_rate,gold_at_1_rate,mIoP,mIoU,mean_span_width
A,baseline,2685,1424,0.5303538175046555,0.3039106145251397,0.297819714053369,0.1608658073672957,4.287401261080075
F,clause_extracted,1345,650,0.483271375464684,0.25353159851301116,0.25493992211324384,0.15009711854080307,4.286216031970261
F,entity_only,17,13,0.7647058823529411,0.4117647058823529,0.5377638569942491,0.20661600133785668,4.4
F,head_event,1308,751,0.5741590214067278,0.3562691131498471,0.3352906101131836,0.17089863357300902,4.291615708715597
F,no_structure,15,11,0.7333333333333333,0.4666666666666667,0.4796206752206753,0.21308169038082936,4.2867
G,clause_extracted,1345,578,0.42973977695167287,0.24907063197026022,0.2543149344896098,0.14954972282012877,4.273712936802974
G,entity_only,17,12,0.7058823529411765,0.47058823529411764,0.5187384559247304,0.1926101179023161,4.303954882352942
G,head_event,1308,716,0.5474006116207951,0.3532110091743119,0.34788160246519184,0.1791536939377147,4.292476055045872
G,no_structure,15,10,0.6666666666666666,0.3333333333333333,0.3804742206853318,0.17478827603082966,4.2867
