arm,n,gold_at_1,gold_at_2,gold_at_4,mrr,mIoP,mIoU,IoP@0.5,IoU@0.5,mean_span_width,median_span_width,mean_center_error_s,median_center_error_s,zero_width_count,invalid_span_count,boundary_clipped_count,mean_top_k_spread_s,median_top_k_spread_s,traversal_activation,mean_original_preserved,adapter_fallback,median_retrieval_ms,p95_retrieval_ms,mean_retrieval_ms,max_ppr_calls,max_text_embeddings,gold_at_4_num,gold_at_4_den
A,2685,0.3039106145251397,0.4145251396648045,0.5303538175046555,0.39360645561762875,0.297819714053369,0.1608658073672957,0.30093109869646184,0.1191806331471136,4.287401261080075,4.4,12.032830986021965,7.430458000000002,0,0,0,17.39121063612663,11.5115,0.0,4.0,0.0,3.9573,4.939629999999999,5.077233854748603,1,1,1424,2685
F,2685,0.3057728119180633,0.4148975791433892,0.5307262569832403,0.3950031036623215,0.2971287184236758,0.16094031081166923,0.2990689013035382,0.11843575418994413,4.289569612662943,4.4,12.06752222464281,7.446799999999996,0,0,0,17.49215888417132,11.745078,0.0,4.0,0.0,4.8766,6.30607,5.068072290502793,1,3,1425,2685
G,2685,0.3016759776536313,0.38063314711359403,0.49013035381750464,0.37352576039726876,0.3022750055769074,0.1643849553103932,0.3031657355679702,0.12253258845437616,4.283117435009311,4.4,11.896780242581977,7.390666666666668,0,0,0,13.993538398137803,8.7087,0.8689013035381751,2.9385474860335195,0.0,5.0028,6.49692,5.125820335195531,1,3,1316,2685
