arm,video,n_questions,gold_at_4_rate,mIoP,mIoU,delta_gold_at_4_vs_A,delta_mIoP_vs_A,delta_mIoU_vs_A
A,5229476012,4,0.25,0.010136363636363634,0.00473380317568141,0.0,0.0,0.0
A,5235909148,7,0.7142857142857143,0.4838697388998436,0.2751145298073446,0.0,0.0,0.0
A,5237219621,3,0.6666666666666666,0.10959090909090922,0.07035923775060571,0.0,0.0,0.0
A,5256928210,9,1.0,0.7169494949494949,0.1952146982587417,0.0,0.0,0.0
A,5296635780,7,0.5714285714285714,0.4855162337662337,0.27257017096823644,0.0,0.0,0.0
A,5297811305,6,0.8333333333333334,0.3012727272727274,0.12770973277634087,0.0,0.0,0.0
A,5308503740,2,0.5,0.5,0.10891089108910885,0.0,0.0,0.0
A,5328004991,8,0.875,0.7335814393939394,0.3264077499456252,0.0,0.0,0.0
A,5328616848,7,0.8571428571428571,0.6917967464472701,0.45184234182355665,0.0,0.0,0.0
A,5333075105,9,0.8888888888888888,0.8978055555555553,0.5033360035748791,0.0,0.0,0.0
A,5349766264,10,0.6,0.30120359848484857,0.0461481147308828,0.0,0.0,0.0
A,5349969207,5,0.8,0.6758257575757577,0.38537143781509153,0.0,0.0,0.0
A,5406108447,5,0.6,0.3813681818181819,0.17060633697537303,0.0,0.0,0.0
A,5427285434,7,0.8571428571428571,0.4237193608724182,0.27493558804642615,0.0,0.0,0.0
A,5429688959,6,0.8333333333333334,0.8333333333333334,0.0946354447366745,0.0,0.0,0.0
A,5433090067,7,0.42857142857142855,0.2884696969696971,0.11874815934787726,0.0,0.0,0.0
A,5445581571,8,0.75,0.18181534090909102,0.10963395286321685,0.0,0.0,0.0
A,5467727317,2,1.0,0.5,0.05418719211822663,0.0,0.0,0.0
A,5498331490,6,0.8333333333333334,0.6666666666666666,0.07586246796401955,0.0,0.0,0.0
A,5504913999,7,0.8571428571428571,0.42857142857142855,0.08242692661129455,0.0,0.0,0.0
A,5521781780,8,0.625,0.6063125000000001,0.30508704129753594,0.0,0.0,0.0
A,5533380417,6,0.6666666666666666,0.5188484848484848,0.2112287568879091,0.0,0.0,0.0
A,5549243726,6,0.8333333333333334,0.24763510101010103,0.14774260070768802,0.0,0.0,0.0
A,5561024834,11,0.36363636363636365,0.2036845730027549,0.1355281551901001,0.0,0.0,0.0
A,5607805258,3,0.6666666666666666,0.6666666666666666,0.17888524590163932,0.0,0.0,0.0
A,5623068492,7,0.7142857142857143,0.5444036796536799,0.2847189141016922,0.0,0.0,0.0
A,5635265624,5,0.6,0.09075000000000005,0.06244600633970464,0.0,0.0,0.0
A,5662041273,12,0.6666666666666666,0.5085881290263566,0.20938414894012836,0.0,0.0,0.0
A,5667931404,5,0.6,0.4,0.24377619828685987,0.0,0.0,0.0
A,5679866364,8,0.625,0.4420066287878788,0.17405722954061512,0.0,0.0,0.0
A,5681946487,7,0.7142857142857143,0.2613697225044388,0.11447448979591836,0.0,0.0,0.0
A,5735711594,7,0.8571428571428571,0.5290226171988885,0.1587494488603638,0.0,0.0,0.0
A,5766018720,7,0.42857142857142855,0.24879870129870127,0.06790997714456956,0.0,0.0,0.0
A,5801184682,9,0.4444444444444444,0.422222222222222,0.1247828126137726,0.0,0.0,0.0
A,5803861992,7,1.0,1.0,0.08236891997243796,0.0,0.0,0.0
A,5833145209,8,0.5,0.2124548694686169,0.112158954386592,0.0,0.0,0.0
A,5854324479,6,0.5,0.08851483585858588,0.05593187208163544,0.0,0.0,0.0
A,5858985747,5,0.6,0.26525757575757575,0.25107500155347046,0.0,0.0,0.0
A,5875242364,8,0.875,0.6118321931324826,0.3683901318389315,0.0,0.0,0.0
A,5875535585,9,0.4444444444444444,0.4444444444444444,0.030121678174296562,0.0,0.0,0.0
A,5879651428,2,0.0,0.07920454545454546,0.06698058812223717,0.0,0.0,0.0
A,5885887012,2,1.0,1.0,0.15714285714285708,0.0,0.0,0.0
